lr,criterion,optimizer,scheduler,val_f1,trial,history,dataloader
0.001,CE,sgd,step_lr,0.9917163765860262,1,"{""train_loss"": [0.25388121747190046, 0.05737278163934215, 0.03197095258344364, 0.02271602644726573, 0.015869881348012965, 0.01060243074160133, 0.008844363445883054, 0.004548477972608149, 0.003092731010838006, 0.0024941900505717793, 0.002146686468042736, 0.0021430718103051948, 0.001840713096198063, 0.0016648415228037916, 0.0015511810571476113, 0.001434582669157126, 0.0013264937136244564, 0.0015166104630065353, 0.0015144945874066946, 0.0014602666319868235], ""val_loss"": [0.07791485075130024, 0.03826959358157667, 0.06442075034924588, 0.03947145420882427, 0.0339814577345474, 0.03130901780604576, 0.030584847445665482, 0.025962509759831297, 0.02679379535543946, 0.025937291154743282, 0.027554690625022582, 0.026847406560259957, 0.02657525659177016, 0.028734560473723372, 0.028125211859813398, 0.027194355493349833, 0.027226182696771427, 0.027135270813916243, 0.027229045545249266, 0.027636611109689475], ""train_acc"": [0.8918095238095238, 0.9768928571428571, 0.9873571428571429, 0.9912500000000001, 0.9939404761904762, 0.9960714285714286, 0.9968333333333333, 0.9988452380952382, 0.9992261904761905, 0.9994166666666667, 0.9995714285714286, 0.9994642857142857, 0.9995595238095238, 0.9996904761904762, 0.9996547619047619, 0.9997857142857143, 0.9998214285714286, 0.9997738095238096, 0.9996190476190476, 0.9997142857142858], ""val_acc"": [0.9683333333333334, 0.9842777777777778, 0.9715, 0.9867222222222223, 0.9876666666666667, 0.9895, 0.9889444444444445, 0.9906666666666667, 0.9904444444444445, 0.9910555555555556, 0.9908333333333333, 0.9911666666666668, 0.9913333333333334, 0.9910555555555556, 0.9911111111111112, 0.9914444444444445, 0.9913333333333334, 0.9913333333333334, 0.9914444444444445, 0.9917222222222223], ""train_f1"": [0.8894089646725295, 0.9768746300589227, 0.9873549334461066, 0.9912510410468187, 0.9939412931939442, 0.9960722383930807, 0.9968339359337688, 0.9988453571758935, 0.9992262088980336, 0.9994166805539022, 0.9995714353736098, 0.9994642984678693, 0.9995595342958037, 0.9996904761904762, 0.9996547427195392, 0.9997857244873667, 0.9998214356561905, 0.9997738220864572, 0.9996190717988231, 0.9997142902490732], ""val_f1"": [0.9685199279208193, 0.9842968767674853, 0.9719397153820118, 0.9866654765878611, 0.9876389529606094, 0.9894744160336094, 0.9889391085683719, 0.9906652829259887, 0.9904444444444445, 0.9910492391298673, 0.9908377363015756, 0.9911676476030382, 0.9913339750709191, 0.9910398494636778, 0.9911025101235995, 0.9914361659939644, 0.9913326911202104, 0.9913339750709191, 0.9914425410961724, 0.9917163765860262]}",no_augm
0.0001,CE,sgd,step_lr,0.9485663280127727,2,"{""train_loss"": [0.4249679637295859, 0.29533927097490853, 0.24664348361038027, 0.21368765027750106, 0.18869137919658707, 0.16602272606321744, 0.14183682117114466, 0.11996812613592261, 0.11484886433006752, 0.11199556292167731, 0.1098786365116636, 0.1054267614865232, 0.1035714089799495, 0.09954567913267584, 0.09643676206363098, 0.09869906252285554, 0.09564070608112074, 0.09664390651278552, 0.09582460365284766, 0.09564738865870805], ""val_loss"": [0.32723704646693336, 0.2612839244769679, 0.22793279537889694, 0.20481689926816357, 0.18421442495452034, 0.17740613605702918, 0.15420989326429035, 0.14606967162837584, 0.14476499697648817, 0.13920640342889562, 0.13655283336879478, 0.13512037505913113, 0.1293255171208746, 0.12837454480553667, 0.13060107013355526, 0.1273830779020985, 0.1268799356609169, 0.12763061042709484, 0.13278169044645297, 0.1269408639040258], ""train_acc"": [0.8071190476190476, 0.8753452380952381, 0.897702380952381, 0.9111785714285715, 0.9228095238095239, 0.9323452380952382, 0.9426666666666667, 0.9525714285714286, 0.9544761904761905, 0.9554880952380953, 0.9565, 0.9579047619047619, 0.9594404761904762, 0.960452380952381, 0.9620000000000001, 0.9607380952380953, 0.9622738095238096, 0.9616428571428571, 0.9624404761904762, 0.9625595238095238], ""val_acc"": [0.8607222222222223, 0.8923333333333334, 0.9051111111111112, 0.9140555555555556, 0.9236666666666667, 0.9269444444444445, 0.9371666666666667, 0.9396666666666668, 0.9396111111111112, 0.9425555555555556, 0.9443333333333334, 0.9448888888888889, 0.9472222222222223, 0.9483333333333334, 0.9469444444444445, 0.948388888888889, 0.9481666666666667, 0.9485, 0.9448333333333334, 0.948388888888889], ""train_f1"": [0.7839867601503898, 0.871416762254747, 0.8953919741071132, 0.9096692482213721, 0.9217273715828246, 0.9316119889540615, 0.9422363748403486, 0.9522629789316346, 0.9541855104132294, 0.9552498629219611, 0.9562936513698338, 0.9576868470551705, 0.9592585133882524, 0.9602857640674738, 0.9618373886500309, 0.9605713831917383, 0.9621189200249997, 0.9614844264795371, 0.9622943299291238, 0.9624181596524692], ""val_f1"": [0.8517909577095412, 0.8885021195572055, 0.902875371181607, 0.9135814324623217, 0.9230859631053709, 0.9259431113480419, 0.9362470863669807, 0.9395811533501108, 0.9396667685016649, 0.9423828086188738, 0.9441955854795063, 0.9447858817212075, 0.9470109112479832, 0.9478782001387885, 0.9470668051486053, 0.9482709610348241, 0.9482447812793956, 0.9485663280127727, 0.9452441612169059, 0.9484553600041703]}",no_augm
0.001,CE,sgd,plateau_lr,0.9915003147565213,3,"{""train_loss"": [0.25625832572189117, 0.05756611634181103, 0.032503028013460736, 0.022698696001940074, 0.015405343271101065, 0.01056692354027369, 0.008933465325123723, 0.0059624343115813085, 0.005528113594469081, 0.0055021664937828845, 0.0036571819776059305, 0.0037122060686980104, 0.0028333413638657215, 0.0011389345707011889, 0.0010072583398478053, 0.0008346117486858995, 0.0006558271797071679, 0.000618735872356367, 0.0005364860386185585, 0.0006228854996189251], ""val_loss"": [0.10152529629050858, 0.03531661299341229, 0.03214591140063693, 0.02578316321964414, 0.03052270569267825, 0.03692430432815703, 0.035485563172383425, 0.03933349888573461, 0.03397354893087653, 0.04386598311635272, 0.04690188634001504, 0.047098594188162944, 0.03406461542539506, 0.034317061706881764, 0.032548202824398284, 0.03527413225728922, 0.03243359292784626, 0.03402715478290505, 0.03451812827152526, 0.037397157868145944], ""train_acc"": [0.8896785714285714, 0.9771666666666667, 0.9868095238095238, 0.9908214285714286, 0.9941190476190477, 0.9960833333333333, 0.9968452380952382, 0.9978571428571429, 0.9981547619047619, 0.9981666666666666, 0.9987619047619047, 0.9987857142857143, 0.9990833333333333, 0.9997738095238096, 0.9997857142857143, 0.9998690476190476, 0.9999285714285715, 0.9998928571428571, 0.999904761904762, 0.9999285714285715], ""val_acc"": [0.9571666666666667, 0.9860555555555556, 0.9862222222222222, 0.9889444444444445, 0.9890000000000001, 0.9861666666666667, 0.9875, 0.9856666666666667, 0.9887777777777779, 0.9876111111111111, 0.9887777777777779, 0.9868888888888889, 0.9898888888888889, 0.9901111111111112, 0.9909444444444445, 0.9906111111111111, 0.9915, 0.9912222222222222, 0.9910555555555556, 0.9909444444444445], ""train_f1"": [0.8871054187697687, 0.9771502987861382, 0.9868057497141699, 0.9908228115985872, 0.9941194208943314, 0.9960834887257789, 0.9968456634506783, 0.9978573468416178, 0.9981548351139689, 0.998167015540603, 0.9987618654510547, 0.9987857528283487, 0.9990834278612765, 0.9997738184978414, 0.9997857142857143, 0.9998690465797019, 0.9999285702946945, 0.9998928579931635, 0.9999047603929262, 0.9999285736957852], ""val_f1"": [0.9577271953313342, 0.9860130897809989, 0.9862742802060452, 0.9889594912115087, 0.9889819273889031, 0.9862194273722358, 0.9875288284381532, 0.9857146813855504, 0.9887761139943432, 0.9875676966966208, 0.9887397414529197, 0.9868888888888889, 0.9898956071993585, 0.9901125750469046, 0.9909487940433748, 0.9905988611775588, 0.9915003147565213, 0.991215696036426, 0.9910479036891702, 0.9909339874591117]}",no_augm
0.0001,CE,sgd,plateau_lr,0.9855746868629915,4,"{""train_loss"": [0.42646046324570974, 0.29716479254620415, 0.24629559621356784, 0.21321159079245158, 0.1869842094764823, 0.16361494535952806, 0.1427978371232748, 0.1139896100324889, 0.08200172793936161, 0.06044779928254762, 0.04955809104420422, 0.04050646909663365, 0.03522172661915067, 0.030363177807591412, 0.02719281647163665, 0.023844359881898744, 0.021360686310289784, 0.018811106970777647, 0.01784014910333679, 0.015515773746980509], ""val_loss"": [0.3272960446808073, 0.2616102999448776, 0.22914967698189947, 0.2064516609493229, 0.18962629623214403, 0.1736730376266771, 0.15695134058097998, 0.12213875894600318, 0.08635023229703721, 0.06824166084528487, 0.059129697339551056, 0.053210410914982076, 0.04923014895460478, 0.04728262384415494, 0.04562143080254706, 0.04392831167947992, 0.042027074600981804, 0.04424684483528836, 0.042974075507251956, 0.040593304109489005], ""train_acc"": [0.8079880952380952, 0.8740476190476191, 0.8974166666666666, 0.9115357142857143, 0.9233928571428571, 0.934, 0.942047619047619, 0.953702380952381, 0.9670357142857143, 0.9772619047619048, 0.9813690476190476, 0.9848333333333333, 0.9870357142857143, 0.9886190476190476, 0.989952380952381, 0.9915, 0.9923809523809524, 0.9934166666666667, 0.9937380952380953, 0.9946309523809524], ""val_acc"": [0.8614444444444445, 0.8906666666666667, 0.9044444444444445, 0.9134444444444445, 0.9208333333333334, 0.9276666666666668, 0.934, 0.9495555555555556, 0.9658888888888889, 0.9728333333333333, 0.9770555555555556, 0.9801111111111112, 0.9802777777777778, 0.9815, 0.9828888888888889, 0.9834444444444445, 0.9839444444444445, 0.9837777777777779, 0.9835555555555556, 0.9855555555555556], ""train_f1"": [0.7837079134509998, 0.8701525973188898, 0.8951712186063485, 0.9100847848967858, 0.9223912612167485, 0.9333637217057704, 0.9416008092841588, 0.9534854541669185, 0.9669608390955445, 0.9772364994461217, 0.9813534569940572, 0.9848287523564324, 0.9870314888789932, 0.9886143410156338, 0.9899480655922307, 0.9914968911554887, 0.9923784084619361, 0.9934163008243165, 0.9937376975306034, 0.9946314209027755], ""val_f1"": [0.8569378841996529, 0.8865896014491431, 0.9048054917516041, 0.9136597089659259, 0.9198869941797547, 0.9279348144627818, 0.9344072699461758, 0.9496773665970846, 0.9659115539582757, 0.9728303131373756, 0.9770204484045114, 0.9801007715810273, 0.9802916076356337, 0.9815466776546717, 0.9828710517736565, 0.9834554447549938, 0.9839674689355044, 0.9837596526589433, 0.9836141696919715, 0.9855746868629915]}",no_augm
0.001,CE,adam,step_lr,0.9937851086968802,5,"{""train_loss"": [0.21062878444258656, 0.06671543818789845, 0.05441993812507662, 0.04999494023161935, 0.04400624359443429, 0.04073363992918721, 0.03562038740317361, 0.01983000357931966, 0.01619479840137337, 0.014380381338787003, 0.013628654621844238, 0.012713298160505043, 0.012155257950388125, 0.011815056414575812, 0.009493966674548321, 0.008855513582176448, 0.008347646275279532, 0.008257733017444785, 0.007833432683678677, 0.007711227143483999], ""val_loss"": [0.1503862162203166, 0.057039788274383885, 0.049261209941967816, 0.04665585719271783, 0.03387092691192978, 0.03904956610359336, 0.03359153500121202, 0.018016834289641553, 0.01741355554108255, 0.021001617625386586, 0.016429034278752377, 0.014964283063838789, 0.019615870068500935, 0.015612060573272434, 0.01589497979042117, 0.01557654972103495, 0.016012936647015256, 0.01621116728107032, 0.016239752235828776, 0.016461148802814313], ""train_acc"": [0.9060119047619047, 0.9695357142857143, 0.9745952380952381, 0.9768095238095238, 0.9792738095238096, 0.9810952380952381, 0.9833095238095239, 0.9905476190476191, 0.9926190476190476, 0.9931785714285715, 0.9935952380952381, 0.9936785714285714, 0.9943095238095239, 0.9947142857142858, 0.9957857142857143, 0.996, 0.9962857142857143, 0.9962738095238095, 0.9967619047619047, 0.9966071428571429], ""val_acc"": [0.9357222222222222, 0.9742777777777778, 0.9777222222222223, 0.9782222222222222, 0.9842777777777778, 0.9813333333333334, 0.9837222222222223, 0.991, 0.9914444444444445, 0.9905, 0.9918333333333333, 0.992388888888889, 0.9918333333333333, 0.9926666666666667, 0.9932222222222222, 0.993388888888889, 0.9934444444444445, 0.9937777777777779, 0.993388888888889, 0.993], ""train_f1"": [0.9030888429633286, 0.9694352075931657, 0.9745863510870737, 0.9768124667627859, 0.9792877443988937, 0.9811196846974013, 0.9833399739001115, 0.9905691256542951, 0.9926302094297726, 0.9931872321953958, 0.9936045230473382, 0.9936844141390375, 0.9943153647291801, 0.9947176310869114, 0.9957891120706163, 0.9960021529131736, 0.9962874787871951, 0.9962754324896224, 0.996763289546555, 0.9966082450873731], ""val_f1"": [0.9379050076606908, 0.9745181540839106, 0.9775748286146154, 0.978206030672652, 0.9842310975597109, 0.9812412655920739, 0.9838699657037823, 0.9910165130843901, 0.9914644853965243, 0.9905469966373343, 0.9918390600632059, 0.9923840815965765, 0.9918621506826496, 0.992677450697198, 0.9932307036381353, 0.9933954670301187, 0.9934536060923458, 0.9937851086968802, 0.993392551540774, 0.9929984427150501]}",no_augm
0.0001,CE,adam,step_lr,0.9943944720171595,6,"{""train_loss"": [0.16299657784650723, 0.041691660956446344, 0.028681136584387527, 0.02030013226655969, 0.01685246900320254, 0.012630274516105384, 0.01138382496927313, 0.004227243888468711, 0.0016790971154941276, 0.001321717252653779, 0.0008218643777786464, 0.0007653827151149833, 0.0006817357862140638, 0.0004936644640640656, 0.00034549754912598384, 0.0001616310891785211, 0.0002298094899872753, 0.0002487304496178018, 0.00011581589810542933, 0.000156169288732075], ""val_loss"": [0.0439387167908911, 0.02818838738735576, 0.028123638556988833, 0.027338748236396187, 0.0173673064412747, 0.022960452107599595, 0.03189692576362112, 0.01680116260081818, 0.0197282958202307, 0.02316966032606422, 0.025413088977119525, 0.026261844899407825, 0.024704928128803393, 0.02881441652912288, 0.02838359152720926, 0.029244635746381156, 0.029081152824102844, 0.02918388500125368, 0.030210783128352067, 0.029697532780626007], ""train_acc"": [0.9311309523809524, 0.9838928571428571, 0.9887857142857143, 0.9920952380952381, 0.9933690476190477, 0.9952738095238095, 0.995702380952381, 0.9985595238095238, 0.9994404761904763, 0.9996190476190476, 0.99975, 0.99975, 0.9998095238095238, 0.9998333333333334, 0.9998571428571429, 0.9999642857142857, 0.9999404761904762, 0.999904761904762, 0.9999880952380953, 0.9999523809523809], ""val_acc"": [0.9841111111111112, 0.9887777777777779, 0.9885, 0.9887222222222223, 0.9924444444444445, 0.9910555555555556, 0.9885, 0.9942222222222222, 0.9941666666666668, 0.994388888888889, 0.9942222222222222, 0.9943333333333334, 0.9942222222222222, 0.994, 0.9942222222222222, 0.9941666666666668, 0.9942777777777778, 0.994388888888889, 0.9942777777777778, 0.9942777777777778], ""train_f1"": [0.9306334396641146, 0.9838899142653297, 0.9887874929189141, 0.9920991181824481, 0.9933705720353692, 0.9952746714540914, 0.9957041848832114, 0.9985598093348975, 0.9994405427608171, 0.9996190597108545, 0.9997500059516723, 0.9997499940469105, 0.9998095328776593, 0.9998333333333334, 0.9998571428571429, 0.9999642859977211, 0.9999404757180463, 0.9999047619047619, 0.9999880953325737, 0.9999523794404251], ""val_f1"": [0.9841666097850502, 0.9887983681669555, 0.9885389349634554, 0.9886878773926009, 0.9924494647203997, 0.9910411967962682, 0.9885248566144089, 0.9942294522816891, 0.9941655854190427, 0.9943936484106913, 0.9942281830068314, 0.994345376152847, 0.9942252103503415, 0.9940075081386771, 0.994229029504246, 0.9941703279624209, 0.9942822111220205, 0.9943944720171595, 0.9942813693345651, 0.9942817903844233]}",no_augm
0.001,CE,adam,plateau_lr,0.9916963697763369,7,"{""train_loss"": [0.18542812220903024, 0.06678249690023118, 0.05402925589755926, 0.047627304124020504, 0.04191291324436073, 0.03663801574473326, 0.033854601760355894, 0.03002628583421574, 0.02981623260745391, 0.026346978546454163, 0.02724699365704138, 0.025565465640477635, 0.02431978365201305, 0.02176834762547132, 0.023121760448733777, 0.021913719003156834, 0.020834669285880517, 0.01991723866758836, 0.02085022785438223, 0.018676767991095054], ""val_loss"": [0.06625855312977608, 0.04712465509781355, 0.044443738384636666, 0.0398592876064065, 0.03548138882584216, 0.03442050890583616, 0.04659774461570972, 0.023741632107925018, 0.02779071023574362, 0.023390132270072878, 0.02288649308618668, 0.02120462883463927, 0.017747133292973703, 0.02747657033440172, 0.020655728142447035, 0.03184921099004364, 0.029279590008617788, 0.02098411560791114, 0.018929174819454622, 0.018224183570422752], ""train_acc"": [0.9178928571428572, 0.9693690476190476, 0.9748928571428571, 0.9778571428571429, 0.9808214285714286, 0.9831190476190477, 0.9844761904761905, 0.9862738095238095, 0.9865119047619048, 0.9874166666666667, 0.9878571428571429, 0.9882857142857143, 0.9885238095238096, 0.9896904761904762, 0.9888809523809524, 0.9895952380952381, 0.9900833333333333, 0.9904761904761905, 0.9902738095238095, 0.9915833333333334], ""val_acc"": [0.9734444444444444, 0.9780000000000001, 0.9757222222222223, 0.9785, 0.9828333333333333, 0.9832777777777778, 0.9776111111111112, 0.9887777777777779, 0.9875555555555556, 0.9886666666666667, 0.9896111111111111, 0.9899444444444445, 0.9916666666666667, 0.986388888888889, 0.9899444444444445, 0.9861666666666667, 0.9857777777777779, 0.9901666666666668, 0.9913333333333334, 0.9906111111111111], ""train_f1"": [0.916078181433094, 0.9693103922740383, 0.974894251596727, 0.9778916664905183, 0.9808514803201889, 0.983154048700039, 0.9845129551912836, 0.9863059978835361, 0.9865364073358441, 0.9874405057508682, 0.9878794854804428, 0.9883070858186233, 0.9885429569345364, 0.9897089635225577, 0.9888960275310487, 0.9896093448202747, 0.9900945242851878, 0.9904889536795574, 0.9902867677862587, 0.9915899205014966], ""val_f1"": [0.9733706580007415, 0.9781959769783872, 0.9754118295361364, 0.9783149310972549, 0.9827784324105444, 0.9832153280162753, 0.9774488015285577, 0.9887901778400264, 0.9875927803704871, 0.9886964886964886, 0.9896425603393056, 0.9899806452284231, 0.9916963697763369, 0.986369085866906, 0.989965449983801, 0.986161019371683, 0.9858773423870114, 0.9901950205264792, 0.9913378155255118, 0.990625945208975]}",no_augm
